t,m,b,sector,coherence,fragmentation,matched_decoder,wrong_decoder,lag_decoder,matched_error,wrong_error,lag_error
650.0,1.0000059804166939,1.0001576799133756,1.0,1.0,0.0,1.0000551879696815,-0.29994481203031864,1.0000551879696815,4.9207552987651226e-05,1.2999507924470124,4.9207552987651226e-05
651.0,1.0000597557726914,0.9999501035424602,1.0,1.0,0.0,0.9999825362398611,-0.30001746376013905,0.9999825362398611,7.721953283024163e-05,1.3000772195328305,7.721953283024163e-05
652.0,0.9999306674089248,0.9998724863167416,1.0,1.0,0.0,0.9999553702108596,-0.3000446297891405,0.9999553702108596,2.4702801934783913e-05,1.2999752971980651,2.4702801934783913e-05
653.0,0.9999412849818536,0.9995902786714379,1.0,1.0,0.0,0.9998565975350032,-0.3001434024649968,0.9998565975350032,8.468744685041774e-05,1.3000846874468506,8.468744685041774e-05
654.0,1.0000505691207011,0.9999269522942765,1.0,1.0,0.0,0.9999744333029967,-0.3000255666970032,0.9999744333029967,7.613581770438138e-05,1.3000761358177044,7.613581770438138e-05
655.0,0.999818437372706,0.9997376626530422,1.0,1.0,0.0,0.9999081819285648,-0.30009181807143526,0.9999081819285648,8.974455585875063e-05,1.2999102554441413,8.974455585875063e-05
656.0,0.9999191457943422,0.9999229186742604,1.0,1.0,0.0,0.9999730215359911,-0.30002697846400894,0.9999730215359911,5.3875741648945485e-05,1.299946124258351,5.3875741648945485e-05
657.0,0.9999361989234868,0.9998485165150632,1.0,1.0,0.0,0.9999469807802721,-0.30005301921972793,0.9999469807802721,1.0781856785269106e-05,1.2999892181432147,1.0781856785269106e-05
658.0,1.0000361271031553,1.000025662948247,1.0,1.0,0.0,1.0000089820318865,-0.29999101796811367,1.0000089820318865,2.7145071268774856e-05,1.3000271450712688,2.7145071268774856e-05
659.0,1.0000544029142346,1.0002278613742082,1.0,1.0,0.0,1.000079751480973,-0.2999202485190272,1.000079751480973,2.5348566738303546e-05,1.2999746514332617,2.5348566738303546e-05
660.0,1.0000159352409361,1.000104344118834,1.0,1.0,0.0,1.000036520441592,-0.2999634795584081,1.000036520441592,2.0585200655842684e-05,1.2999794147993442,2.0585200655842684e-05
661.0,0.9999908740207286,0.9998347119000189,1.0,1.0,0.0,0.9999421491650067,-0.3000578508349935,0.9999421491650067,4.872485572193774e-05,1.300048724855722,4.872485572193774e-05
662.0,1.0000315984990298,0.9999066520348843,1.0,1.0,0.0,0.9999673282122095,-0.3000326717877906,0.9999673282122095,6.427028682032265e-05,1.3000642702868204,6.427028682032265e-05
663.0,0.9999982084899649,1.0000036705811355,1.0,1.0,0.0,1.0000012847033974,-0.2999987152966026,1.0000012847033974,3.0762134325401647e-06,1.2999969237865674,3.0762134325401647e-06
664.0,1.000047289368372,1.0001068437654688,1.0,1.0,0.0,1.000037395317914,-0.299962604682086,1.000037395317914,9.89405045803693e-06,1.300009894050458,9.89405045803693e-06
665.0,0.9999519415305815,0.9999851787975131,1.0,1.0,0.0,0.9999948125791296,-0.30000518742087046,0.9999948125791296,4.287104854805435e-05,1.299957128951452,4.287104854805435e-05
